Date,Open,High,Low,Close,Volume
03/01/2000 16:00:00,45.53,45.53,43.97,44.5,3027700
04/01/2000 16:00:00,44.53,44.56,41.97,42,2764500
05/01/2000 16:00:00,42.25,42.94,41.84,42.78,3845000
06/01/2000 16:00:00,43.2,44.5,43.2,43.64,3598800
07/01/2000 16:00:00,44.5,46.63,43.41,46.5,2549800
10/01/2000 16:00:00,46.44,47.63,45.91,47.43,2071800
11/01/2000 16:00:00,47.48,47.56,45.75,45.81,1429100
12/01/2000 16:00:00,46.06,47.25,44.94,45.75,2323200
13/01/2000 16:00:00,46.13,48.06,45.44,47.47,2875400
14/01/2000 16:00:00,48,50.25,48,49.06,4571000
18/01/2000 16:00:00,49.13,51.75,48.25,51.13,5919100
19/01/2000 16:00:00,51.28,53.06,50.13,51.88,4128600
20/01/2000 16:00:00,51.88,53.13,49.19,50,5360600
21/01/2000 16:00:00,50.03,51.5,48,51.44,3514900
24/01/2000 16:00:00,48.25,51.25,46.5,48.44,4972000
25/01/2000 16:00:00,47,49.75,45.75,47.55,3730800
26/01/2000 16:00:00,49.44,52,48.69,50.44,3782800
27/01/2000 16:00:00,50.56,51.3,46.5,48.94,3090100
28/01/2000 16:00:00,48.5,49.75,45.88,46,2834600
31/01/2000 16:00:00,46.03,49.5,45,48.94,3248800
01/02/2000 16:00:00,49,52.13,48,51.88,4528500
02/02/2000 16:00:00,52.13,54,51.13,52.64,4945700
03/02/2000 16:00:00,53.97,55,53.25,54.19,4640800
04/02/2000 16:00:00,54.22,55.19,52.63,53.06,3250400
07/02/2000 16:00:00,52.25,52.25,51,51.25,2566700
08/02/2000 16:00:00,51.75,54,51.75,53.06,2433800
09/02/2000 16:00:00,52.69,53,51.44,52.81,1464900
10/02/2000 16:00:00,52.88,52.88,51.88,52.13,2761800
11/02/2000 16:00:00,52.19,52.31,51,51.69,2067700
14/02/2000 16:00:00,51.72,51.72,50,50.88,1795100
15/02/2000 16:00:00,50.13,50.48,48.5,49.38,2666200
16/02/2000 16:00:00,49.31,49.31,46.38,47.42,4225400
17/02/2000 16:00:00,47.94,48,43.5,44,6947200
18/02/2000 16:00:00,44.03,45.94,41.94,45.17,5992100
22/02/2000 16:00:00,44.94,45.25,42.63,44,3761800
23/02/2000 16:00:00,43.91,45.25,43.64,44.58,4176800
24/02/2000 16:00:00,44.53,45.06,43,44,3974500
25/02/2000 16:00:00,44.34,48.34,43.81,47.63,7554600
28/02/2000 16:00:00,47.56,50.63,47.25,48.31,6464600
29/02/2000 16:00:00,48.88,50,48.13,49.63,3670000
01/03/2000 16:00:00,49.63,49.81,46.13,46.5,4624400
02/03/2000 16:00:00,47.5,51.88,47.5,49.63,7831700
03/03/2000 16:00:00,49.66,51.19,48.88,49.94,2430500
06/03/2000 16:00:00,49.94,50.25,49.13,50,3416800
07/03/2000 16:00:00,50.06,50.06,45,45.44,7505400
08/03/2000 16:00:00,45.41,46.38,42.38,45.63,6471700
09/03/2000 16:00:00,45.63,45.94,43.69,44.63,4907500
10/03/2000 16:00:00,44.63,46.25,43.94,44.13,4934000
13/03/2000 16:00:00,44.13,45,42.38,43.56,3640000
14/03/2000 16:00:00,43.25,45.5,43,43.31,1349000
15/03/2000 16:00:00,43.31,50.5,43,50,5460300
16/03/2000 16:00:00,49.84,56.95,48.25,55.94,12393500
17/03/2000 16:00:00,54.88,54.88,52.25,54.25,7753900
20/03/2000 16:00:00,53.91,53.94,51,52.31,3874000
21/03/2000 16:00:00,52.34,53.25,52,52.19,4223100
22/03/2000 16:00:00,52.38,55,52.13,53.41,5072800
