Date,Open,High,Low,Close,Volume
03/01/2000 16:00:00,28.66,28.81,28.06,28.13,4415300
04/01/2000 16:00:00,27.88,28.41,27.88,27.88,2823100
05/01/2000 16:00:00,28.22,28.72,28.03,28.47,3700900
06/01/2000 16:00:00,28.53,28.84,28.28,28.5,3000900
07/01/2000 16:00:00,29.25,30.34,28.94,30.31,4694200
10/01/2000 16:00:00,30.25,30.47,29.38,29.41,3461100
11/01/2000 16:00:00,30.47,30.63,30.06,30.41,3889300
12/01/2000 16:00:00,30.41,30.91,30.22,30.78,3642200
13/01/2000 16:00:00,30.72,30.72,30.25,30.28,2619200
14/01/2000 16:00:00,30.97,30.97,30.34,30.53,3068900
18/01/2000 16:00:00,30.66,32.5,30.53,32.5,7996500
19/01/2000 16:00:00,32.5,32.59,31.88,32.59,5223000
20/01/2000 16:00:00,32.5,32.97,31.88,32.94,4881700
21/01/2000 16:00:00,32.91,33.44,32.91,33.44,4897200
24/01/2000 16:00:00,33.19,33.19,31.78,32.5,3749100
25/01/2000 16:00:00,32,33.03,31.44,32.94,4221700
26/01/2000 16:00:00,32.13,32.72,31.38,31.53,10149200
27/01/2000 16:00:00,31.31,31.34,29.22,29.72,7574900
28/01/2000 16:00:00,29.72,29.75,28.53,28.53,4599500
31/01/2000 16:00:00,28.53,29.38,28.28,28.72,4595400
01/02/2000 16:00:00,28.88,29.19,28.16,29.09,3532300
02/02/2000 16:00:00,28.78,28.94,28.03,28.28,2968600
03/02/2000 16:00:00,28.25,28.38,27.53,27.63,3828200
04/02/2000 16:00:00,27.63,28.88,27.56,28.19,4802000
07/02/2000 16:00:00,28.03,28.81,27.81,28.41,3237200
08/02/2000 16:00:00,28.72,28.94,28.38,28.59,3097300
09/02/2000 16:00:00,28.5,28.88,28.38,28.56,3171100
10/02/2000 16:00:00,28.63,28.66,28.13,28.34,3490900
11/02/2000 16:00:00,27.88,27.97,27.44,27.66,3147100
14/02/2000 16:00:00,27.53,27.63,26.91,27.06,2815100
15/02/2000 16:00:00,26.69,27.88,26.63,27.84,3240900
16/02/2000 16:00:00,27.53,27.72,26.63,26.88,2800300
17/02/2000 16:00:00,26.75,26.78,25.59,26.16,4948700
18/02/2000 16:00:00,25.75,26.16,25.38,25.66,4943500
22/02/2000 16:00:00,25.41,26.31,25.25,25.88,4474500
23/02/2000 16:00:00,25.69,25.69,25,25.44,4581400
24/02/2000 16:00:00,25.19,25.22,24.16,24.91,6188100
25/02/2000 16:00:00,24.88,25.34,24.03,24.41,4497000
28/02/2000 16:00:00,24.03,24.84,23.78,24.66,4273100
29/02/2000 16:00:00,24.06,24.41,23.81,24.22,4925100
01/03/2000 16:00:00,24.59,25.69,24.59,25.66,6375300
02/03/2000 16:00:00,25.59,25.88,24.69,24.94,4813200
03/03/2000 16:00:00,25.06,25.19,24.53,24.97,3509500
06/03/2000 16:00:00,24.59,24.75,24.16,24.44,2996900
07/03/2000 16:00:00,24.19,24.19,22.41,23.34,8957200
08/03/2000 16:00:00,23,24.03,22.94,23.75,5669900
09/03/2000 16:00:00,23.78,23.78,22.97,23.38,5038200
10/03/2000 16:00:00,23.03,23.13,22.03,22.34,5080700
13/03/2000 16:00:00,21.63,22.16,21.56,21.81,6108800
14/03/2000 16:00:00,22.16,22.16,21.5,21.69,2958200
15/03/2000 16:00:00,21.84,23.88,21.81,23.78,8138300
16/03/2000 16:00:00,24.88,24.88,24.28,24.88,6950300
17/03/2000 16:00:00,24.69,24.97,24.38,24.5,6297700
20/03/2000 16:00:00,24.5,24.5,24.13,24.38,2614700
21/03/2000 16:00:00,23.69,24.81,23.69,24.72,3517600
22/03/2000 16:00:00,24.5,24.5,23.09,23.53,4563900
23/03/2000 16:00:00,23.5,24.19,23.22,23.81,4078000
24/03/2000 16:00:00,23.38,23.53,23.19,23.5,3381900
27/03/2000 16:00:00,23.41,23.56,22.91,22.91,3576500
28/03/2000 16:00:00,22.88,23.25,22.53,22.53,5562400
29/03/2000 16:00:00,22.69,23.53,22.66,23.44,6843900
30/03/2000 16:00:00,23.56,24.97,23.56,24.28,7640000
31/03/2000 16:00:00,23.56,24.97,23.47,23.47,3471200
03/04/2000 16:00:00,23.63,24.97,23.63,24.94,5850100
04/04/2000 16:00:00,24.75,26.19,24.16,25.75,11343200
05/04/2000 16:00:00,25.13,25.47,23.69,23.81,8188100
06/04/2000 16:00:00,25.13,25.47,22.38,22.75,8015800
07/04/2000 16:00:00,22.88,23.19,22.38,23.09,4835600
10/04/2000 16:00:00,22.88,23.59,22.47,22.5,5239900
11/04/2000 16:00:00,23.22,23.88,22.84,23.78,4931300
12/04/2000 16:00:00,24,24.97,23.84,24.25,5864600
13/04/2000 16:00:00,23.75,24.31,23.56,23.56,3799400
14/04/2000 16:00:00,23.13,23.78,23.03,23.38,3899600
17/04/2000 16:00:00,23.38,24.31,23.19,24.13,4510500
18/04/2000 16:00:00,24.16,24.56,23.19,23.84,5626500
19/04/2000 16:00:00,24.16,24.81,24.03,24.59,4183700
20/04/2000 16:00:00,24.16,24.72,24,24.72,3485600
24/04/2000 16:00:00,24.72,25.22,24.5,24.84,3878800
25/04/2000 16:00:00,24.72,25.25,24.09,25.25,3712000
26/04/2000 16:00:00,24.72,25.03,24.44,24.72,4187800
27/04/2000 16:00:00,24.25,24.56,23.72,24.16,3965800
28/04/2000 16:00:00,24.06,24.09,23.41,23.53,3135600
01/05/2000 16:00:00,23.31,23.5,23.16,23.22,3022900
02/05/2000 16:00:00,23.28,23.78,22.97,23.16,3732100
03/05/2000 16:00:00,23.06,24.41,23.06,24.25,6069300
04/05/2000 16:00:00,24.38,24.59,23.66,24.25,2984000
05/05/2000 16:00:00,23.94,23.94,23.38,23.53,2425400
08/05/2000 16:00:00,23.84,24.25,23.81,24.22,2455600
09/05/2000 16:00:00,25.25,25.63,24.97,25.25,9464800
10/05/2000 16:00:00,25.28,26.5,25.28,26.41,9161000
11/05/2000 16:00:00,26.91,26.91,26.5,26.78,6828400
12/05/2000 16:00:00,26.5,26.5,25.75,26.13,3182700
15/05/2000 16:00:00,26,26.31,25.88,25.97,3607400
16/05/2000 16:00:00,26,26.31,24.31,24.31,7086300
17/05/2000 16:00:00,24.31,24.59,24,24.03,3638700
18/05/2000 16:00:00,24.31,24.94,24,24.72,3511200
19/05/2000 16:00:00,24.53,25.16,24.53,25.03,4304400
22/05/2000 16:00:00,25.03,25.34,24.88,25.34,4064400
23/05/2000 16:00:00,25,25.09,24.84,25,3123800
24/05/2000 16:00:00,25.09,26.53,25.09,26.25,4256400
25/05/2000 16:00:00,26.16,26.47,26.03,26.28,2438400
26/05/2000 16:00:00,26.63,27.5,26.63,27.28,5078300
30/05/2000 16:00:00,27.47,27.5,26.53,26.97,2914100
31/05/2000 16:00:00,26.94,26.94,26.38,26.69,2404200
01/06/2000 16:00:00,26.59,27.31,26.53,26.63,2229500
02/06/2000 16:00:00,26.63,26.63,26.06,26.28,2681500
05/06/2000 16:00:00,26.44,26.44,25.91,26.09,2040400
06/06/2000 16:00:00,25.97,25.97,25.53,25.91,2880800
07/06/2000 16:00:00,26,26.63,26,26.5,2873800
08/06/2000 16:00:00,26.06,26.5,25.97,26.41,2666500
09/06/2000 16:00:00,26.41,26.69,26.06,26.16,2179500
12/06/2000 16:00:00,26.16,26.72,26.13,26.31,1739700
13/06/2000 16:00:00,26.44,27,26.44,26.75,2391000
14/06/2000 16:00:00,26.22,27.06,26.22,26.5,2438400
15/06/2000 16:00:00,26.91,28.38,26.91,27.94,8915600
16/06/2000 16:00:00,28.06,28.09,27.59,27.75,6615600
19/06/2000 16:00:00,27,27.44,27,27.19,3036100
20/06/2000 16:00:00,26.66,26.81,26.34,26.47,3155600
21/06/2000 16:00:00,26.97,27.16,26.5,26.75,3726300
22/06/2000 16:00:00,26.63,28.25,26.5,28.03,5119400
23/06/2000 16:00:00,28.94,29.16,27.81,28.94,6570500
26/06/2000 16:00:00,29.63,29.63,28.78,29.63,4097100
27/06/2000 16:00:00,29.38,29.44,28.75,28.91,4627900
28/06/2000 16:00:00,29.25,30.44,29.19,30,8103200
29/06/2000 16:00:00,29.94,30.09,29.38,29.41,5605300
30/06/2000 16:00:00,29.06,29.16,28.13,28.72,8765900
03/07/2000 16:00:00,29.06,29.25,28.91,29.19,3644700
05/07/2000 16:00:00,29.56,29.59,29.13,29.38,3135300
06/07/2000 16:00:00,29.16,29.47,28.97,29.47,2201900
07/07/2000 16:00:00,29.19,29.59,29.19,29.38,2179200
10/07/2000 16:00:00,29.31,29.34,28.63,28.78,2805900
11/07/2000 16:00:00,28.44,28.5,27.91,28.09,3692300
12/07/2000 16:00:00,27.66,28.25,27.66,28.16,3230700
13/07/2000 16:00:00,28.22,29.06,28.22,28.97,3751500
14/07/2000 16:00:00,28.94,29.19,27.94,28.91,1953900
