,Date,KO_Close,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,PCE,GDP,DXY_Close,CRE,CPI,UNRATE
0,2000-01-03,28.13,5.81,6.09,6.38,6.42,6.5,6.65,6.58,6.94,6686.5,10002.179,104.889999,1.16,0.30,4.0
1,2000-01-04,27.88,5.75,6.0,6.3,6.34,6.4,6.56,6.49,6.84,6679.1,10002.179,105.440002,1.16,0.30,3.8
2,2000-01-05,28.47,5.74,6.05,6.38,6.43,6.51,6.68,6.62,6.95,6709.7,10002.179,109.629997,1.18,0.30,4.0
3,2000-01-06,28.5,5.69,6.03,6.35,6.39,6.46,6.63,6.57,6.86,6746.9,10002.179,109.050003,1.18,0.30,4.0
4,2000-01-07,30.31,5.66,6.0,6.31,6.35,6.42,6.58,6.52,6.82,6768.5,10002.179,106.839996,1.2,0.30,4.0
5,2000-01-10,29.41,5.64,6.07,6.38,6.42,6.49,6.62,6.57,6.86,6893.8,10002.179,91.63514395150789,1.18,0.30,3.9
6,2000-01-11,30.41,5.66,6.13,6.45,6.49,6.57,6.72,6.67,6.94,6909.8,10002.179,115.559998,1.17,0.30,3.9
7,2000-01-12,30.78,5.7,6.16,6.49,6.53,6.63,6.76,6.72,6.97,6952.2,10002.179,114.730003,1.16,0.30,3.9
8,2000-01-13,30.28,5.66,6.1,6.4,6.45,6.54,6.67,6.63,6.88,6952.2,10002.179,101.0,1.18,0.30,3.9
9,2000-01-14,30.53,5.69,6.13,6.44,6.49,6.59,6.71,6.69,6.91,6952.2,10002.179,101.720001,1.19,0.30,3.9
10,2000-01-18,32.5,5.79,6.15,6.47,6.53,6.65,6.78,6.75,6.94,6952.2,10002.179,101.860001,1.19,0.30,3.9
11,2000-01-19,32.59,5.78,6.12,6.46,6.51,6.62,6.75,6.73,6.91,6952.2,10002.179,101.760002,1.19,0.30,3.9
12,2000-01-20,32.94,5.84,6.13,6.49,6.55,6.67,6.8,6.79,6.93,6952.2,10002.179,101.360001,1.18,0.30,3.9
