Date,Open,High,Low,Close,Volume
03/01/2000 16:00:00,35.38,37.38,35.06,36.88,4527400
04/01/2000 16:00:00,36.56,37.56,35.81,35.94,3972900
05/01/2000 16:00:00,35.81,36.25,34.88,35.06,5149000
06/01/2000 16:00:00,34.75,36.88,34.5,36.63,6084700
07/01/2000 16:00:00,36.88,38.63,36.69,38.5,9490700
10/01/2000 16:00:00,38.13,38.19,36.63,37,5903600
11/01/2000 16:00:00,37.56,37.56,36.63,36.75,5050900
12/01/2000 16:00:00,36.75,37.19,36.38,36.44,3642100
13/01/2000 16:00:00,36.31,36.56,35.94,36,2290800
14/01/2000 16:00:00,36.06,36.81,35.94,36.19,4298100
18/01/2000 16:00:00,35.94,37,35.56,36.44,3979600
19/01/2000 16:00:00,36.88,36.88,35.94,36.44,3411500
20/01/2000 16:00:00,36.44,36.44,36.06,36.13,2343500
21/01/2000 16:00:00,36.19,36.44,35.75,36.38,4020600
24/01/2000 16:00:00,35.94,36,34.94,35.31,2416100
25/01/2000 16:00:00,35.31,35.38,33.88,34.31,3838700
26/01/2000 16:00:00,34.31,34.94,33.81,33.94,2674800
27/01/2000 16:00:00,34,34.31,33.25,33.81,2146700
28/01/2000 16:00:00,33.56,34,33.25,33.25,3718600
31/01/2000 16:00:00,33.5,34.38,33.25,34.13,2604400
01/02/2000 16:00:00,34,34.31,33.75,33.94,3166800
02/02/2000 16:00:00,33.94,33.94,33,33,2628200
03/02/2000 16:00:00,33.38,33.38,32.63,33.06,3001300
04/02/2000 16:00:00,33.63,34.06,32.63,32.75,3089000
07/02/2000 16:00:00,32.88,33.19,32.25,32.38,3149200
08/02/2000 16:00:00,33.31,33.69,33,33.31,4091800
09/02/2000 16:00:00,35,35,33.75,34,7019400
10/02/2000 16:00:00,34.88,34.88,34.06,34.63,5298100
11/02/2000 16:00:00,35,35.06,34,34.44,4902500
14/02/2000 16:00:00,34.19,34.5,33.94,34.06,2993700
15/02/2000 16:00:00,34,34.88,34,34.19,3391800
16/02/2000 16:00:00,34.13,34.81,33.94,34.69,3986800
17/02/2000 16:00:00,34.56,34.81,34.25,34.44,2410600
18/02/2000 16:00:00,34.38,34.75,33.94,34.25,3214200
22/02/2000 16:00:00,34.31,34.88,34.13,34.69,2421600
23/02/2000 16:00:00,34.31,34.75,34,34.19,2805100
24/02/2000 16:00:00,34.06,34.38,33.25,34,3116500
25/02/2000 16:00:00,34,34.38,32.69,32.75,3548600
28/02/2000 16:00:00,33.19,33.88,32.75,33.25,3212000
29/02/2000 16:00:00,32.88,33.06,32.25,32.25,4614400
01/03/2000 16:00:00,32,32.94,31.94,32.63,4905400
02/03/2000 16:00:00,32.69,32.81,31.56,31.63,4478700
03/03/2000 16:00:00,32.69,32.81,31.5,31.63,3853200
06/03/2000 16:00:00,31.06,31.44,30.69,30.94,3249100
07/03/2000 16:00:00,31,31.5,29.69,30.63,6315300
08/03/2000 16:00:00,31,31.5,30.06,31.06,4490100
09/03/2000 16:00:00,30.75,31.75,30.63,31.5,3420200
10/03/2000 16:00:00,31.06,31.38,30.5,30.69,2931200
13/03/2000 16:00:00,30.13,31.19,30.13,31.13,3787800
14/03/2000 16:00:00,30.63,30.69,30.13,30.44,3074300
15/03/2000 16:00:00,30.44,33.19,30.38,33.13,4576700
16/03/2000 16:00:00,33,34.19,32.25,34.06,4428100
17/03/2000 16:00:00,33,33.94,32.81,33,3857400
20/03/2000 16:00:00,32.5,33.63,32.25,33.38,2210400
21/03/2000 16:00:00,32.5,34.31,32.25,34.31,4921200
22/03/2000 16:00:00,34.31,34.31,32.75,33.5,2786600
23/03/2000 16:00:00,32.88,34,32.75,33.69,3357200
24/03/2000 16:00:00,32.88,33.5,32.56,32.94,2723000
27/03/2000 16:00:00,32.75,32.94,31.56,31.69,2616400
28/03/2000 16:00:00,32.75,33.13,31.63,32.5,3918200
29/03/2000 16:00:00,32.75,33.69,31.63,33.38,3479700
30/03/2000 16:00:00,33.81,35.88,33.81,35.44,5405500
31/03/2000 16:00:00,36,36.06,34.56,34.56,4120400
03/04/2000 16:00:00,34.63,36.38,34.63,36.13,3467600
04/04/2000 16:00:00,35.5,37.25,35.5,36.44,4926700
05/04/2000 16:00:00,36.5,37.38,36.5,36.69,3933900
06/04/2000 16:00:00,36.69,37.31,36.13,36.88,3109600
07/04/2000 16:00:00,36.44,36.56,35.31,36,3212100
10/04/2000 16:00:00,36,36.94,35.88,36.44,2160300
11/04/2000 16:00:00,36.06,37.19,36.06,37.06,2030800
12/04/2000 16:00:00,36.25,37.88,36.25,37.25,3591100
13/04/2000 16:00:00,36.56,36.94,36.31,36.44,2528100
14/04/2000 16:00:00,36.69,36.69,35.56,36.44,2975400
17/04/2000 16:00:00,36.63,36.63,34.63,36.63,3240600
18/04/2000 16:00:00,36.13,36.13,35,35.94,2587600
19/04/2000 16:00:00,36.13,36.38,34.81,35.31,2444600
20/04/2000 16:00:00,36.75,37.5,35.94,37.19,4269200
24/04/2000 16:00:00,36.69,38.31,36.63,37.88,3796500
25/04/2000 16:00:00,37.13,37.75,37,37.44,2769300
26/04/2000 16:00:00,37.44,38.13,37.19,37.75,2929800
27/04/2000 16:00:00,37.13,37.56,36.75,37.44,2535100
28/04/2000 16:00:00,36.63,36.69,36.25,36.69,1948400
01/05/2000 16:00:00,36.44,37.25,36.13,37.06,1776900
02/05/2000 16:00:00,37.06,37.69,36.19,37.5,2738000
03/05/2000 16:00:00,37.06,37.81,37.06,37.56,3398800
04/05/2000 16:00:00,37.38,37.69,36.63,36.69,2039400
05/05/2000 16:00:00,36.25,37.69,36.25,37.5,1983000
08/05/2000 16:00:00,37.69,37.94,37.44,37.94,2960800
09/05/2000 16:00:00,37.94,38.38,37.31,37.69,3741400
10/05/2000 16:00:00,38.06,39.31,38.06,39.19,7792900
11/05/2000 16:00:00,38.06,40,38.06,40,4986100
12/05/2000 16:00:00,38.06,39.5,38.06,39.5,3209700
15/05/2000 16:00:00,38.75,39.88,38.75,39.38,3209800
16/05/2000 16:00:00,38.94,39.75,38.63,39.06,3299600
17/05/2000 16:00:00,38.38,39.25,38.38,38.94,2664400
18/05/2000 16:00:00,38.38,39.88,38.38,39.75,2147200
19/05/2000 16:00:00,39.25,39.63,39,39.25,2258900
22/05/2000 16:00:00,39,40.13,38.56,39.81,5600800
23/05/2000 16:00:00,39.31,39.56,38.81,39.44,2564100
24/05/2000 16:00:00,39.31,40.81,38.81,40.63,4682100
