Date,Open,High,Low,Close,Volume
03/01/2000 16:00:00,53.24,53.3,52.19,52.93,1862100
04/01/2000 16:00:00,53.24,53.49,51.23,51.91,1889200
05/01/2000 16:00:00,51.79,51.98,50.62,50.83,2285000
06/01/2000 16:00:00,51.91,54.04,51.88,53.21,2897700
07/01/2000 16:00:00,57.53,57.78,53.95,57.53,4038400
10/01/2000 16:00:00,57.19,57.93,56.48,57.25,2916600
11/01/2000 16:00:00,56.98,58.15,56.51,58.15,1907600
12/01/2000 16:00:00,57.35,58.46,57.35,57.78,2720900
13/01/2000 16:00:00,57.72,57.78,56.57,56.79,2048800
14/01/2000 16:00:00,57.04,57.78,56.98,57.78,2165100
18/01/2000 16:00:00,57.75,58.27,57.31,57.75,1962100
19/01/2000 16:00:00,57.28,57.28,56.08,56.98,2477400
20/01/2000 16:00:00,56.42,56.42,53.15,55.59,4631500
21/01/2000 16:00:00,55.62,55.62,49.14,50.71,10516200
24/01/2000 16:00:00,47.9,53.77,46.82,50.93,9447900
25/01/2000 16:00:00,51.17,51.17,47.9,48.12,7593000
26/01/2000 16:00:00,49.78,49.78,48.8,49.6,4538200
27/01/2000 16:00:00,50.37,51.57,50.06,51.33,3965700
28/01/2000 16:00:00,51.2,51.2,49.07,49.54,4354400
31/01/2000 16:00:00,49.51,49.94,48.77,49.81,1964600
01/02/2000 16:00:00,49.72,49.75,48.77,49.14,1739800
02/02/2000 16:00:00,49.26,49.38,48.55,48.7,1682800
03/02/2000 16:00:00,49.29,49.29,47.75,48.27,2725300
04/02/2000 16:00:00,48.21,48.24,46.42,46.79,3082100
07/02/2000 16:00:00,46.42,46.82,45.71,46.14,2756100
08/02/2000 16:00:00,46.42,47.35,45.83,47.28,2892800
09/02/2000 16:00:00,47.04,47.25,46.3,46.3,2732700
10/02/2000 16:00:00,46.3,46.76,44.51,45.15,2193900
11/02/2000 16:00:00,46.3,46.39,44.51,46.3,2256900
14/02/2000 16:00:00,46.27,46.33,44.94,45.37,2336100
15/02/2000 16:00:00,46.27,47.31,45.59,47.25,3007300
16/02/2000 16:00:00,47.31,47.41,45.93,46.11,2384500
17/02/2000 16:00:00,46.42,46.91,45.93,46.51,2128000
