,COST,KO,PEP,PG,NSRGY,Date,WAL_Close,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,PCE,GDP,DXY_Close,CRE,CPI,UNRATE
0,44.5,28.13,36.88,52.93,18.35,2000-01-03,66.81,5.81,6.09,6.38,6.42,6.5,6.65,6.58,6.94,6686.5,10002.179,104.889999,1.16,0.30%,4.0
1,42.0,27.88,35.94,51.91,18.3,2000-01-04,64.38,5.75,6.0,6.3,6.34,6.4,6.56,6.49,6.84,6679.1,10002.179,105.440002,1.16,0.30%,3.8
2,42.78,28.47,35.06,50.83,18.0,2000-01-05,63.0,5.74,6.05,6.38,6.43,6.51,6.68,6.62,6.95,6709.7,10002.179,109.629997,1.18,0.30%,4.0
3,43.64,28.5,36.63,53.21,18.05,2000-01-06,63.69,5.69,6.03,6.35,6.39,6.46,6.63,6.57,6.86,6746.9,10002.179,109.050003,1.18,0.30%,4.0
4,46.5,30.31,38.5,57.53,18.75,2000-01-07,68.5,5.66,6.0,6.31,6.35,6.42,6.58,6.52,6.82,6768.5,10002.179,106.839996,1.2,0.30%,4.0
5,47.43,29.41,37.0,57.25,19.1,2000-01-10,67.06,5.64,6.07,6.38,6.42,6.49,6.62,6.57,6.86,6893.8,10002.179,91.63514395150789,1.18,0.30%,3.9
6,45.81,30.41,36.75,58.15,18.9,2000-01-11,66.25,5.66,6.13,6.45,6.49,6.57,6.72,6.67,6.94,6909.8,10002.179,115.559998,1.17,0.30%,3.9
7,45.75,30.78,36.44,57.78,18.4,2000-01-12,65.06,5.7,6.16,6.49,6.53,6.63,6.76,6.72,6.97,6952.2,10002.179,114.730003,1.16,0.30%,3.9
8,47.47,30.28,36.0,56.79,18.53,2000-01-13,65.13,5.66,6.1,6.4,6.45,6.54,6.67,6.63,6.88,6952.2,10002.179,101.0,1.18,0.30%,3.9
9,49.06,30.53,36.19,57.78,18.0,2000-01-14,64.56,5.69,6.13,6.44,6.49,6.59,6.71,6.69,6.91,6952.2,10002.179,101.720001,1.19,0.30%,3.9
10,51.13,32.5,36.44,57.75,17.43,2000-01-18,65.63,5.79,6.15,6.47,6.53,6.65,6.78,6.75,6.94,6952.2,10002.179,101.860001,1.19,0.30%,3.9
11,51.88,32.59,36.44,56.98,16.98,2000-01-19,64.06,5.78,6.12,6.46,6.51,6.62,6.75,6.73,6.91,6952.2,10002.179,101.760002,1.19,0.30%,3.9
12,50.0,32.94,36.13,55.59,16.95,2000-01-20,63.0,5.84,6.13,6.49,6.55,6.67,6.8,6.79,6.93,6952.2,10002.179,101.360001,1.18,0.30%,3.9
13,51.44,33.44,36.38,50.71,16.5,2000-01-21,62.5,5.83,6.12,6.48,6.54,6.67,6.8,6.79,6.91,6952.2,10002.179,101.760002,1.19,0.30%,3.9
14,48.44,32.5,35.31,50.93,16.25,2000-01-24,58.81,5.77,6.13,6.43,6.48,6.59,6.71,6.69,6.86,6952.2,10002.179,102.199997,1.19,0.30%,3.9
15,47.55,32.94,34.31,48.12,16.4,2000-01-25,60.69,5.78,6.13,6.44,6.5,6.6,6.72,6.7,6.84,6952.2,10002.179,102.410004,1.18,0.30%,3.9
16,50.44,31.53,33.94,49.6,16.65,2000-01-26,61.94,5.78,6.15,6.45,6.51,6.62,6.72,6.69,6.79,6952.2,10002.179,102.440002,1.18,0.30%,3.9
17,48.94,29.72,33.81,51.33,16.18,2000-01-27,59.38,5.79,6.19,6.51,6.58,6.67,6.72,6.68,6.73,6952.2,10002.179,103.169998,1.18,0.30%,3.9
18,46.0,28.53,33.25,49.54,16.18,2000-01-28,54.56,5.86,6.25,6.58,6.62,6.68,6.72,6.66,6.65,6952.2,10002.179,104.480003,1.17,0.30%,3.9
19,48.94,28.72,34.13,49.81,16.1,2000-01-31,54.75,5.97,6.3,6.61,6.65,6.71,6.75,6.68,6.72,6952.2,10002.179,104.790001,1.22,0.30%,3.9
20,51.88,29.09,33.94,49.14,16.05,2000-02-01,58.69,5.95,6.3,6.6,6.63,6.68,6.71,6.62,6.66,6952.2,10002.179,104.790001,1.21,0.40%,3.9
21,52.64,28.28,33.0,48.7,15.53,2000-02-02,58.38,5.94,6.24,6.63,6.66,6.69,6.71,6.6,6.61,6952.2,10002.179,104.790001,1.19,0.40%,3.9
22,54.19,27.63,33.06,48.27,16.4,2000-02-03,57.0,5.86,6.16,6.56,6.56,6.56,6.63,6.49,6.52,6952.2,10002.179,105.650002,1.2,0.40%,3.9
23,53.06,28.19,32.75,46.79,16.68,2000-02-04,56.25,5.94,6.19,6.63,6.64,6.64,6.68,6.53,6.54,6952.2,10002.179,91.63514395150789,1.17,0.40%,3.9
24,51.25,28.41,32.38,46.14,17.15,2000-02-07,55.38,6.04,6.23,6.68,6.72,6.76,6.8,6.64,6.62,6952.2,10002.179,91.63514395150789,1.18,0.40%,3.9
25,53.06,28.59,33.31,47.28,17.1,2000-02-08,59.06,6.02,6.22,6.69,6.74,6.74,6.73,6.59,6.51,6952.2,10002.179,110.669998,1.19,0.40%,3.9
26,52.81,28.56,34.0,46.3,17.0,2000-02-09,57.44,5.99,6.2,6.69,6.75,6.77,6.78,6.56,6.6,6952.2,10002.179,111.419998,1.2,0.40%,3.9
27,52.13,28.34,34.63,45.15,16.95,2000-02-10,57.44,5.98,6.2,6.67,6.74,6.78,6.87,6.67,6.67,6952.2,10002.179,113.790001,1.21,0.40%,3.9
28,51.69,27.66,34.44,46.3,16.95,2000-02-11,56.06,5.98,6.17,6.65,6.73,6.77,6.81,6.63,6.62,6952.2,10002.179,115.610001,1.21,0.40%,3.9
29,50.88,27.06,34.06,45.37,17.2,2000-02-14,57.94,6.04,6.19,6.62,6.68,6.72,6.74,6.56,6.55,6952.2,10002.179,104.720001,1.21,0.40%,3.9
30,49.38,27.84,34.19,47.25,17.1,2000-02-15,56.81,6.01,6.2,6.66,6.72,6.74,6.76,6.56,6.59,6952.2,10002.179,104.690002,1.21,0.40%,3.9
31,47.42,26.88,34.69,46.11,17.1,2000-02-16,52.88,6.0,6.22,6.63,6.7,6.75,6.77,6.56,6.6,6952.2,10002.179,104.279999,1.21,0.40%,3.9
32,44.0,26.16,34.44,46.51,16.88,2000-02-17,48.94,6.03,6.28,6.69,6.72,6.76,6.81,6.58,6.55,6952.2,10002.179,104.269997,1.2,0.40%,3.9
33,45.17,25.66,34.25,45.89,16.9,2000-02-18,47.75,6.02,6.26,6.66,6.71,6.72,6.72,6.49,6.47,6952.2,10002.179,104.629997,1.21,0.40%,3.9
34,44.0,25.88,34.69,45.86,16.5,2000-02-22,48.19,6.03,6.22,6.57,6.62,6.62,6.6,6.36,6.39,6952.2,10002.179,103.279999,1.22,0.40%,3.9
35,44.58,25.44,34.19,44.54,16.0,2000-02-23,47.13,6.03,6.27,6.61,6.63,6.66,6.7,6.44,6.45,6952.2,10002.179,103.529999,1.21,0.40%,3.9
36,44.0,24.91,34.0,43.8,16.18,2000-02-24,44.38,6.02,6.22,6.52,6.54,6.56,6.61,6.36,6.43,6952.2,10002.179,104.010002,1.22,0.40%,3.9
37,47.63,24.41,32.75,42.04,15.65,2000-02-25,44.13,5.99,6.18,6.45,6.48,6.5,6.61,6.36,6.47,6952.2,10002.179,105.260002,1.22,0.40%,3.9
38,48.31,24.66,33.25,43.7,15.5,2000-02-28,45.81,6.02,6.21,6.47,6.5,6.53,6.62,6.37,6.47,6952.2,10002.179,105.269997,1.26,0.40%,3.9
39,49.63,24.22,32.25,43.46,15.55,2000-02-29,48.69,6.02,6.2,6.53,6.58,6.61,6.67,6.42,6.46,6952.2,10002.179,105.919998,1.29,0.40%,3.9
40,46.5,25.66,32.63,43.58,17.2,2000-03-01,48.81,6.02,6.17,6.52,6.54,6.59,6.63,6.39,6.48,6952.2,10002.179,100.220001,1.3,0.60%,3.9
41,49.63,24.94,31.63,43.12,17.2,2000-03-02,50.56,6.03,6.19,6.52,6.58,6.59,6.64,6.4,6.45,6952.2,10002.179,103.800003,1.31,0.60%,3.9
42,49.94,24.97,31.63,43.67,17.7,2000-03-03,52.63,6.02,6.15,6.5,6.56,6.6,6.62,6.39,6.41,6952.2,10002.179,106.0,1.32,0.60%,3.9
43,50.0,24.44,30.94,43.18,18.15,2000-03-06,49.63,6.08,6.2,6.55,6.62,6.64,6.65,6.42,6.46,6952.2,10002.179,108.120003,1.32,0.60%,3.9
44,45.44,23.34,30.63,29.96,17.8,2000-03-07,47.56,6.07,6.17,6.48,6.55,6.6,6.62,6.39,6.46,6952.2,10002.179,107.059998,1.32,0.60%,3.9
45,45.63,23.75,31.06,28.46,17.65,2000-03-08,48.31,6.09,6.17,6.5,6.54,6.59,6.61,6.38,6.48,6952.2,10002.179,110.980003,1.32,0.60%,3.9
46,44.63,23.38,31.5,28.33,17.7,2000-03-09,48.94,6.06,6.15,6.48,6.52,6.56,6.59,6.35,6.47,6952.2,10002.179,91.63514395150789,1.32,0.60%,3.9
47,44.13,22.34,30.69,26.2,17.8,2000-03-10,47.94,6.11,6.21,6.55,6.58,6.61,6.63,6.39,6.52,6952.2,10002.179,114.220001,1.31,0.60%,3.9
48,43.56,21.81,31.13,28.12,18.1,2000-03-13,47.31,6.13,6.21,6.52,6.54,6.57,6.6,6.36,6.5,6952.2,10002.179,105.5,1.33,0.60%,3.9
49,43.31,21.69,30.44,27.59,18.0,2000-03-14,47.81,6.12,6.2,6.48,6.5,6.52,6.55,6.31,6.43,6952.2,10002.179,105.300003,1.34,0.60%,3.9
50,50.0,23.78,33.13,28.89,18.7,2000-03-15,51.38,6.12,6.21,6.5,6.5,6.5,6.52,6.29,6.39,6952.2,10002.179,105.379997,1.34,0.60%,3.9
51,55.94,24.88,34.06,29.57,18.55,2000-03-16,54.94,6.11,6.2,6.5,6.49,6.47,6.48,6.26,6.37,6952.2,10002.179,105.18,1.34,0.60%,3.9
52,54.25,24.5,33.0,28.46,18.5,2000-03-17,55.69,6.13,6.2,6.5,6.49,6.45,6.43,6.2,6.33,6952.2,10002.179,105.199997,1.34,0.60%,3.9
53,52.31,24.38,33.38,28.73,18.5,2000-03-20,55.13,6.17,6.23,6.52,6.5,6.45,6.44,6.18,6.31,6952.2,10002.179,105.150002,1.34,0.60%,3.9
54,52.19,24.72,34.31,28.15,18.1,2000-03-21,56.5,6.13,6.22,6.5,6.48,6.44,6.39,6.13,6.28,6952.2,10002.179,105.809998,1.35,0.60%,3.9
55,53.41,23.53,33.5,27.59,18.1,2000-03-22,55.69,6.11,6.21,6.5,6.47,6.41,6.41,6.13,6.3,6952.2,10002.179,106.040001,1.35,0.60%,3.9
56,53.63,23.81,33.69,27.72,18.3,2000-03-23,54.0,6.12,6.23,6.52,6.47,6.39,6.37,6.08,6.25,6952.2,10002.179,105.230003,1.34,0.60%,3.9
57,54.58,23.5,32.94,27.87,17.93,2000-03-24,55.19,6.19,6.31,6.64,6.59,6.51,6.49,6.2,6.36,6952.2,10002.179,104.769997,1.34,0.60%,3.9
58,53.5,22.91,31.69,27.28,17.8,2000-03-27,55.44,6.18,6.32,6.66,6.61,6.51,6.49,6.21,6.35,6952.2,10002.179,105.449997,1.35,0.60%,3.9
59,51.13,22.53,32.5,28.18,17.8,2000-03-28,54.81,6.16,6.31,6.6,6.57,6.46,6.45,6.17,6.34,6952.2,10002.179,105.529999,1.37,0.60%,3.9
60,50.13,23.44,33.38,28.98,17.8,2000-03-29,59.13,6.17,6.31,6.59,6.54,6.46,6.45,6.18,6.35,6952.2,10002.179,106.25,1.37,0.60%,3.9
61,50.25,24.28,35.44,28.7,17.85,2000-03-30,59.25,6.14,6.26,6.52,6.47,6.35,6.31,6.06,6.26,6952.2,10002.179,105.470001,1.45,0.60%,3.9
62,52.56,23.47,34.56,27.78,17.88,2000-03-31,55.5,6.15,6.28,6.5,6.44,6.32,6.28,6.03,6.2,6952.2,10002.179,106.0,1.48,0.60%,3.9
63,52.5,24.94,36.13,29.38,17.6,2000-04-03,61.69,6.18,6.23,6.45,6.41,6.3,6.25,6.0,6.19,6952.2,10247.72,106.0,1.48,-0.10%,3.9
64,54.06,25.75,36.44,31.33,17.6,2000-04-04,60.0,6.1,6.14,6.35,6.29,6.16,6.15,5.9,6.12,6952.2,10247.72,105.169998,1.49,-0.10%,3.9
